id,price,sqft_living,bedrooms,bathrooms,year_built,zipcode,address,Latitude,Longitude
1,1249000.00,6209.00,5,5,1986,80111,"Centennial, CO 80111",39.6166715,-104.8746508
2,220000.00,1422.00,5,4,1986,80111,"Centennial, CO 80111",39.6166715,-104.8746508
3,1250000.00,5614.00,2,3,1981,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
4,599900.00,2785.00,4,3,1982,80111,"Englewood, CO 80111",39.6166715,-104.8746508
5,986950.00,3449.00,6,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
6,182500.00,709.00,1,1,1979,80111,"Englewood, CO 80111",39.6166715,-104.8746508
7,222500.00,658.00,1,1,1987,80111,"Englewood, CO 80111",39.6166715,-104.8746508
8,599900.00,2952.00,4,3,1976,80111,"Centennial, CO 80111",39.6166715,-104.8746508
9,795000.00,3715.00,4,3,1979,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
10,1150000.00,3502.00,4,3,1960,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
11,941950.00,3258.00,6,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
12,725000.00,3944.00,5,3,1972,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
13,738069.00,2945.00,4,3.5,1973,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
14,258250.00,863.00,2,2,1988,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
15,350000.00,1214.00,2,2,2004,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
16,825000.00,4862.00,5,3,1980,80111,"Englewood, CO 80111",39.6166715,-104.8746508
17,695000.00,4113.00,4,3,1978,80111,"Englewood, CO 80111",39.6166715,-104.8746508
18,647042.00,2016.00,3,2.4,1963,80111,"Centennial, CO 80111",39.6166715,-104.8746508
19,654900.00,2988.00,5,4,1981,80111,"Englewood, CO 80111",39.6166715,-104.8746508
20,825000.00,3687.00,3,2,1967,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
21,599900.00,2974.00,4,4,1982,80111,"Englewood, CO 80111",39.6166715,-104.8746508
22,1100000.00,4341.00,3,3,1997,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
23,1078950.00,3902.00,6,5,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
24,299000.00,956.00,2,1,1989,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
25,1895000.00,6740.00,4,7,2006,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
26,275000.00,956.00,2,1,1989,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
27,644900.00,3584.00,4,3,2018,80111,"Centennial, CO 80111",39.6166715,-104.8746508
28,494900.00,1541.00,3,3,2016,80111,"Centennial, CO 80111",39.6166715,-104.8746508
29,688063.00,3049.00,4,4,2018,80111,"Centennial, CO 80111",39.6166715,-104.8746508
30,941950.00,2704.00,5,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
31,1525720.00,4307.00,2,3,2019,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
32,865000.00,1659.00,2,2.5,2008,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
33,579164.00,2853.00,5,4,1982,80111,"Englewood, CO 80111",39.6166715,-104.8746508
34,1657540.00,4299.00,2,3,2019,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
35,875000.00,3543.00,3,4,1962,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
36,991950.00,2871.00,5,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
37,415000.00,1626.00,3,3,2002,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
38,899000.00,4620.00,4,4,2000,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
39,1024950.00,2871.00,2,2,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
40,925000.00,2087.00,3,3,2008,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
41,412164.00,2304.00,4,4,1980,80111,"Englewood, CO 80111",39.6166715,-104.8746508
42,933950.00,2672.00,4,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
43,550000.00,3742.00,4,3,1978,80111,"Englewood, CO 80111",39.6166715,-104.8746508
44,1040950.00,2988.00,4,3,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
45,891950.00,2988.00,5,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
46,701000.00,35719.20,2,4,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
47,238000.00,891.00,1,1,1989,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
48,599555.00,3770.00,4,4,1976,80111,"Centennial, CO 80111",39.6166715,-104.8746508
49,1910991.00,5512.00,2,3,2018,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
50,900000.00,4263.00,4,3.5,1996,80111,"Centennial, CO 80111",39.6166715,-104.8746508
51,867449.00,2909.00,4,4.5,1992,80111,"Englewood, CO 80111",39.6166715,-104.8746508
52,1500000.00,2613.60,2,4.5,1992,80111,"Cherry Hills Village, CO 80111",39.6166715,-104.8746508
53,599950.00,3022.00,4,4,2018,80111,"Centennial, CO 80111",39.6166715,-104.8746508
54,359000.00,1222.00,2,2,1995,80111,"Englewood, CO 80111",39.6166715,-104.8746508
55,1300000.00,4952.00,5,4,1968,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
56,215000.00,896.00,2,1,1988,80111,"Englewood, CO 80111",39.6166715,-104.8746508
57,518000.00,3402.00,6,3,1963,80111,"Centennial, CO 80111",39.6166715,-104.8746508
58,999800.00,5273.00,5,4,1991,80111,"Englewood, CO 80111",39.6166715,-104.8746508
59,1124950.00,3258.00,3,2,2019,80111,"Centennial, CO 80111",39.6166715,-104.8746508
60,875000.00,3307.00,5,5,1994,80111,"Englewood, CO 80111",39.6166715,-104.8746508
61,850000.00,4147.00,3,3,1994,80111,"Englewood, CO 80111",39.6166715,-104.8746508
62,1470000.00,5292.00,5,4,1981,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
63,661559.00,3049.00,4,4,2018,80111,"Centennial, CO 80111",39.6166715,-104.8746508
64,715000.00,3593.00,5,3,1977,80111,"Greenwood Village, CO 80111",39.6166715,-104.8746508
65,524900.00,2334.00,4,3,1978,80111,"Englewood, CO 80111",39.6166715,-104.8746508
66,677544.00,2641.00,4,3.5,1978,80111,"Englewood, CO 80111",39.6166715,-104.8746508
